,0,1,2,3,4
264,aptiv-plc,Aptiv PLC,APTV),"$68,117,525",7
265,aqua-leisure-industries,Aqua-Leisure Industries, ,"$683,103",2
266,aquarosa-shipping,Aquarosa Shipping, ,"$1,200,000",1
267,aquatech-international,Aquatech International, ,"$30,178,000",2
268,arab-banking-corp,Arab Banking Corp., ,"$5,500",1
269,arab-ship-management-ltd,Arab Ship Management Ltd., ,"$500,000",1
270,aramark,Aramark,NYSE: ARMK),"$19,871,364",72
271,arbor-pharmaceuticals,Arbor Pharmaceuticals, ,"$116,503",1
272,arcbest-corp,ArcBest Corp.,ARCB),"$771,100",24
273,arch-capital,Arch Capital,ACGL),"$6,951,915",20
274,arch-health-partners,Arch Health Partners, ,"$2,910,370",1
275,arch-resources,Arch Resources,ARCH),"$19,054,662",22
276,archbold-medical-center,Archbold Medical Center, ,"$13,900,000",1
277,archer-daniels-midland,Archer Daniels Midland,ADM),"$424,053,087",50
278,archer-limited,Archer Limited, ,"$2,063,251",2
279,arclight-capital-partners,ArcLight Capital Partners, ,"$709,509,670",36
280,arconic,Arconic,ARNC),"$12,983,152",19
281,arcos-dorados-holdings,Arcos Dorados Holdings,ARCO),"$20,075",3
282,arcosa-inc,Arcosa Inc.,ACA),"$12,457,795",6
283,arctic-slope-regional-corp,Arctic Slope Regional Corp., ,"$7,371",1
284,ardagh-packaging-group,Ardagh Packaging Group,NYSE: ARD),"$4,179,293",12
285,ardent-health-services,Ardent Health Services, ,"$4,310,000",2
286,ardent-mills,Ardent Mills, ,"$382,269",12
287,ares-management,Ares Management,ARES),"$30,121,784",24
288,argenbright-holdings,Argenbright Holdings, ,"$2,734,114",7
289,argos,Argos, ,"$24,358,374",1
290,arkansas-heart-hospital,Arkansas Heart Hospital, ,"$900,000",1
291,arkema,Arkema, ,"$29,677,463",42
292,arlington-asset-investment-corp,Arlington Asset Investment Corp.,AAIC),"$21,930,839",1
293,armetta-llc,Armetta LLC, ,"$85,000",2
294,armstrong-flooring,Armstrong Flooring,AFI),"$123,887",4
295,armstrong-world-industries,Armstrong World Industries,NYSE: AWI),"$354,579",7
296,arrow-electronics,Arrow Electronics,ARW),"$2,825,040",2
297,arsenal-capital-partners,Arsenal Capital Partners, ,"$832,527",9
298,artesian-resources,Artesian Resources,ARTNA),"$33,050",2
299,arthrex,Arthrex, ,"$16,000,000",1
300,arthur-andersen-llp,Arthur Andersen LLP, ,"$224,000,000",2
301,arthur-d-little-sas,Arthur D. Little SAS, ,"$6,500,000",1
302,arthur-j-gallagher-and-co,Arthur J. Gallagher & Co.,AJG),"$31,319,500",8
303,artiflex-manufacturing,ArtiFlex Manufacturing, ,"$205,268",7
304,aryzta,Aryzta, ,"$781,446",4
305,asahi-forge,Asahi Forge, ,"$20,350",2
306,asahi-kasei,Asahi Kasei, ,"$580,110",5
307,asbury-automotive-group,Asbury Automotive Group,ABG),"$338,847",1
308,ascena-retail-group,Ascena Retail Group, ,"$10,541,311",6
309,ascension-health,Ascension Health, ,"$94,169,347",15
310,asgn-inc,ASGN Inc.,ASGN),"$4,081,885",8
311,ashland-global-holdings,Ashland Global Holdings,ASH),"$81,101,686",1
312,ashland-hospital-corp,Ashland Hospital Corp., ,"$44,018,250",4
313,ashley-furniture,Ashley Furniture, ,"$3,639,074",16
314,ashtead-group-plc,Ashtead Group PLC, ,"$318,869",12
315,aspen-aerogels,Aspen Aerogels,ASPN),"$64,029",4
316,aspen-dental-management,Aspen Dental Management, ,"$1,942,376",4
317,asplundh-tree-expert,Asplundh Tree Expert, ,"$97,624,908",12
318,asr-group,ASR Group, ,"$713,127",11
319,assa-abloy,Assa Abloy, ,"$120,812",1
320,assicurazioni-generali,Assicurazioni Generali, ,"$502,000",2
321,associated-banc-corp,Associated Banc-Corp,ASB),"$201,275,000",1
322,associated-british-foods,Associated British Foods,LSE: ABF),"$86,900",5
323,associated-milk-producers-inc,Associated Milk Producers Inc., ,"$253,603",9
324,associated-wholesale-grocers,Associated Wholesale Grocers, ,"$3,980,368",1
325,assurant,Assurant,AIZ),"$127,126,703",77
326,astec-industries,Astec Industries,ASTE),"$303,718",3
327,astellas-pharma,Astellas Pharma, ,"$208,930,000",7
328,astrazeneca,AstraZeneca,LSE: AZN),"$1,381,343,497",4
329,astronics,Astronics,ATRO),"$12,800",1
330,asurion,Asurion, ,"$4,060,783",2
331,at-and-t,AT&T,T),"$1,629,051,941",73
332,aterian-investment-partners,Aterian Investment Partners, ,"$648,353",22
333,athenahealth,Athenahealth, ,"$19,140,228",1
334,atlantic-health-system,Atlantic Health System, ,"$9,148,931",1
335,atlantic-power,Atlantic Power, ,"$14,719",1
336,atlantic-union-bankshares,Atlantic Union Bankshares,AUB),"$233,600",2
337,atlanticus-holdings,Atlanticus Holdings,ATLC),"$231,764,000",3
338,atlas-air-worldwide,Atlas Air Worldwide,AAWW),"$18,272,500",1
339,atlas-copco,Atlas Copco, ,"$446,859",6
340,atlas-ship-management-ltd,Atlas Ship Management Ltd., ,"$900,000",1
341,atlas-van-lines,Atlas Van Lines, ,"$1,580,460",1
342,atmos-energy,Atmos Energy,ATO),"$12,793,553",1
343,atos,Atos, ,"$71,066",1
344,atp-oil-and-gas,ATP Oil & Gas, ,"$43,088,000",10
345,atria-wealth-solutions,Atria Wealth Solutions, ,"$6,777,455",17
346,atricure,AtriCure,ATRC),"$3,760,000",1
347,atrium-health,Atrium Health, ,"$33,400,881",5
348,au-optronics,AU Optronics, ,"$682,500,000",3
349,audacy-inc,Audacy Inc.,AUD),"$13,135,000",9
350,audax-group,Audax Group, ,"$10,087,567",1
351,aurora-bank,Aurora Bank, ,"$242,418,293",1
352,austal,Austal, ,"$840,062",4
353,austin-industries,Austin Industries, ,"$288,081",2
354,authentic-brands-group,Authentic Brands Group, ,"$26,899,730",1
355,auto-owners-insurance,Auto-Owners Insurance, ,"$310,752",13
356,autodesk,Autodesk,ADSK),"$7,270",1
357,autogrill,Autogrill, ,"$5,028,247",7
358,autoliv-inc,Autoliv Inc.,ALV),"$14,610,900",1
359,automatic-data-processing,Automatic Data Processing,ADP),"$2,253,937",6
360,autonation,AutoNation,AN),"$3,635,215",1
361,autozone,AutoZone,AZO),"$25,430,018",8
362,aux-sable-companies,Aux Sable Companies, ,"$3,073,171",4
363,avalonbay-communities,AvalonBay Communities,AVB),"$560,931",2
364,avantor-inc,Avantor Inc.,NYSE: AVTR),"$1,902,337",13
365,avaya-holdings,Avaya Holdings,AVYA),"$5,119,979",7
366,aveo-pharmaceuticals,AVEO Pharmaceuticals,AVEO),"$4,000,000",1
367,avera-health,Avera Health, ,"$73,969",4
368,avery-dennison,Avery Dennison,AVY),"$2,425,690",1
369,avianca-holdings,Avianca Holdings, ,"$120,000",1
370,aviation-industry-corp-of-china,Aviation Industry Corp. of China, ,"$167,828",3
371,avient-corporation,Avient Corporation,AVNT),"$1,419,878",9
372,avis-budget-group,Avis Budget Group,Nasdaq: CAR),"$21,718,256",8
373,avista,Avista,AVA),"$4,732,767",3
374,avista-capital-partners,Avista Capital Partners, ,"$63,612,304",1
375,avnet,Avnet,AVT),"$37,285,523",2
376,axa,AXA, ,"$245,726,825",1
377,axalta-coating-systems,Axalta Coating Systems,AXTA),"$176,823",3
378,azz-inc,AZZ Inc.,AZZ),"$452,342",6
379,b-and-g-foods,B&G Foods,BGS),"$244,899",10
380,b-braun-melsungen,B. Braun Melsungen, ,"$24,121,842",2
381,babcock-and-wilcox,Babcock & Wilcox,BW),"$843,994",17
382,bacardi-limited,Bacardi Limited, ,"$3,285,835",3
383,badger-meter,Badger Meter,BMI),"$139,660",1
384,bae-systems,BAE Systems,LSE: BA),"$545,450,925",5
385,bain-capital,Bain Capital, ,"$19,110,694",13
386,baker-concrete-construction,Baker Concrete Construction, ,"$347,376",15
387,baker-hughes,Baker Hughes,BKR),"$44,737,856",2
388,balchem,Balchem,BCPC),"$241,393",6
389,balfour-beatty,Balfour Beatty,LSE: BBY),"$90,651,994",2
390,ball-corp,Ball Corp.,BLL),"$3,964,409",9
391,balli-group,Balli Group, ,"$17,000,000",2
392,ballys-corporation,Bally's Corporation,BALY),"$28,000",2
393,bancfirst,BancFirst,BANF),"$20,229",1
394,banco-bilbao-vizcaya-argentaria,Banco Bilbao Vizcaya Argentaria,BBVA),"$37,421,571",2
395,banco-espirito-santo,Banco Espirito Santo, ,"$10,850,000",4
396,banco-santander,Banco Santander,SAN),"$666,646,458",18
397,bancorpsouth,BancorpSouth,BXS),"$10,646,500",1
398,bank-hapoalim,Bank Hapoalim, ,"$904,323,317",4
399,bank-leumi,Bank Leumi, ,"$401,600,000",3
400,bank-of-america,Bank of America,NYSE: BAC),"$82,901,469,908",42
401,bank-of-china,Bank of China, ,"$24,850,991",5
402,bank-of-hawaii,Bank of Hawaii,BOH),"$2,507,631",2
403,bank-of-montreal,Bank of Montreal,BMO),"$59,311,904",4
404,bank-of-new-york-mellon,Bank of New York Mellon,BK),"$1,518,906,006",26
405,banner-health,Banner Health, ,"$40,333,455",4
406,baptist-health-ar,Baptist Health (AR), ,"$2,738,830",1
407,baptist-health-jacksonville-fl,"Baptist Health (Jacksonville, FL)", ,"$5,390,000",2
408,baptist-health-ky,Baptist Health (KY), ,"$10,995,267",2
409,baptist-health-south-florida,Baptist Health South Florida, ,"$680,000",1
410,baptist-health-systems-tx,Baptist Health Systems (TX), ,"$3,675,000",1
411,baptist-memorial-health-care,Baptist Memorial Health Care, ,"$4,101,662",2
412,barclays,Barclays,LSE: BARC),"$5,992,319,528",26
413,barilla,Barilla, ,"$82,757",1
414,barnes-group,Barnes Group,B),"$253,412",9
415,barrett-business-services,Barrett Business Services,BBSI),"$1,649,689",1
416,barrick-gold,Barrick Gold,ABX),"$5,133,018",241
417,barry-callebaut,Barry Callebaut, ,"$248,456",10
418,bartlett-and-company,Bartlett and Company, ,"$358,026",8
419,barton-solvents,Barton Solvents, ,"$1,100,000",2
420,basf,BASF, ,"$172,445,432",137
421,bashas,Bashas, ,"$8,362,503",5
422,basic-energy-services-inc,Basic Energy Services Inc.,BASX),"$748,320",4
423,bass-pro,Bass Pro, ,"$24,830,143",4
424,bassett-furniture-industries,Bassett Furniture Industries,BSET),"$92,300",3
425,bath-and-body-works-inc,"Bath & Body Works, Inc.",LB),"$94,539,523",5
426,battalion-oil,Battalion Oil,BATL),"$271,942",2
427,battelle,Battelle, ,"$7,086,789",4
428,battery-recycling-company,Battery Recycling Company, ,"$1,202,110",3
429,bausch-health,Bausch Health,BHC),"$355,305,378",5
430,baxter-international,Baxter International,BAX),"$555,858,691",10
431,baycare-health-system,BayCare Health System, ,"$14,835,996",3
432,bayer,Bayer, ,"$13,753,215,508",56
433,bayhealth-medical-center,Bayhealth Medical Center, ,"$1,187,882",1
434,baylor-scott-and-white-health,Baylor Scott & White Health, ,"$53,024,166",3
435,baystate-health-system,Baystate Health System, ,"$247,501",1
436,baytex-energy,Baytex Energy,BTE),"$81,751",2
437,bc-capital-group,BC Capital Group, ,"$490,246,741",1
438,bc-hydro,BC Hydro, ,"$750,037,000",1
439,bc-partners,BC Partners, ,"$23,890,368",12
440,bcd,BCD, ,"$14,763",1
441,bcj-sand-and-rock,BCJ Sand and Rock, ,"$436,746",29
442,bcs-financial-corporation,BCS Financial Corporation, ,"$1,100,000",2
443,bdo-international,BDO International, ,"$102,510,000",5
444,beacon-roofing-supply,Beacon Roofing Supply,BECN),"$2,830,152",4
445,bealls-inc,Bealls Inc., ,"$1,224,097",1
446,bearingpoint,BearingPoint, ,"$15,394,985",1
447,beaumont-health,Beaumont Health, ,"$106,331,424",2
448,beaver-medical-group,Beaver Medical Group, ,"$5,039,180",1
449,beazer-homes-usa,Beazer Homes USA,BZH),"$59,754,365",1
450,bebe-stores,Bebe Stores,BEBE),"$990,000",2
