,name,ticker,year,penalty
207,AAON Inc.,AAON),2000,"21,250"
208,AAON Inc.,AAON),2012,"16,984"
209,AAON Inc.,AAON),2013,"15,417"
210,AAON Inc.,AAON),2018,"12,196"
211,AAON Inc.,AAON),2005,"8,550"
212,AAON Inc.,AAON),2016,"6,000"
213,AAR Corp.,AIR),2021,"11,088,000"
214,AAR Corp.,AIR),2019,"742,677"
215,AAR Corp.,AIR),2019,"742,677"
216,AAR Corp.,AIR),2021,"429,273"
217,AAR Corp.,AIR),2014,"150,000"
218,AAR Corp.,AIR),2015,"115,000"
219,AAR Corp.,AIR),2010,"110,500"
220,AAR Corp.,AIR),2006,"90,000"
221,AAR Corp.,AIR),2008,"69,500"
222,AAR Corp.,AIR),2016,"60,000"
223,AAR Corp.,AIR),2021,"45,000"
224,AAR Corp.,AIR),2014,"30,000"
225,AAR Corp.,AIR),2014,"30,000"
226,AAR Corp.,AIR),2016,"30,000"
227,AAR Corp.,AIR),2016,"30,000"
228,AAR Corp.,AIR),2011,"25,000"
229,AAR Corp.,AIR),2014,"20,000"
230,AAR Corp.,AIR),2016,"19,200"
231,AAR Corp.,AIR),2015,"18,500"
232,AAR Corp.,AIR),2017,"18,478"
233,AAR Corp.,AIR),2014,"17,000"
234,AAR Corp.,AIR),2012,"16,875"
235,AAR Corp.,AIR),2020,"16,852"
236,AAR Corp.,AIR),2019,"16,582"
237,AAR Corp.,AIR),2012,"14,550"
238,AAR Corp.,AIR),2007,"11,000"
239,AAR Corp.,AIR),2007,"11,000"
240,AAR Corp.,AIR),2020,"10,721"
241,AAR Corp.,AIR),2012,"10,000"
242,AAR Corp.,AIR),2003,"9,400"
243,AAR Corp.,AIR),2018,"9,200"
244,AAR Corp.,AIR),2010,"8,000"
245,AAR Corp.,AIR),2011,"7,980"
246,AAR Corp.,AIR),2013,"7,425"
247,AAR Corp.,AIR),2011,"6,312"
248,AAR Corp.,AIR),2013,"5,760"
249,AAR Corp.,AIR),2006,"5,550"
250,AAR Corp.,AIR),2018,"5,500"
251,AAR Corp.,AIR),2017,"5,432"
252,Aaron's,AAN),2014,"28,400,000"
253,Aaron's,AAN),2012,"6,000,000"
254,Aaron's,AAN),2020,"5,100,000"
255,Aaron's,AAN),2014,"1,350,000"
